source,target,shared_researchers
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA (UNIVERSIDAD NACIONAL DE COLOMBIA),UNIVERSIDAD DE ANTIOQUIA,5
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA (UNIVERSIDAD NACIONAL DE COLOMBIA),UNIVERSIDAD INDUSTRIAL DE SANTANDER,3
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA (UNIVERSIDAD NACIONAL DE COLOMBIA),UNIVERSIDAD DE LOS ANDES,3
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA (UNIVERSIDAD NACIONAL DE COLOMBIA),FUNDACION UNIVERSIDAD DEL NORTE,3
COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,UNIVERSIDAD DEL ROSARIO (COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO),3
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA (UNIVERSIDAD NACIONAL DE COLOMBIA),UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA,2
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA (UNIVERSIDAD NACIONAL DE COLOMBIA),UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,2
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA (UNIVERSIDAD NACIONAL DE COLOMBIA),UNIVERSIDAD DE LOS LLANOS,2
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA (UNIVERSIDAD NACIONAL DE COLOMBIA),UNIVERSIDAD CENTRAL,2
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA (UNIVERSIDAD NACIONAL DE COLOMBIA),INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN,2
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA (UNIVERSIDAD NACIONAL DE COLOMBIA),INSTITUTO NACIONAL DE SALUD,2
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA (UNIVERSIDAD NACIONAL DE COLOMBIA),INSTITUTO DE INVESTIGACION DE RECURSOS BIOLOGICOS ALEXANDER VON HUMBOLDT,2
UNIVERSIDAD EL BOSQUE,PONTIFICIA UNIVERSIDAD JAVERIANA,2
UNIVERSIDAD DEL VALLE,UNIVERSIDAD DE CARTAGENA,2
UNIVERSIDAD DE SAN BUENAVENTURA CALI (UNIVERSIDAD DE SAN BUENAVENTURA),UNIVERSIDAD CATOLICA LUIS AMIGO,2
UNIVERSIDAD DE MEDELLIN,UNIVERSIDAD EAFIT,2
UNIVERSIDAD DE LOS ANDES,PONTIFICIA UNIVERSIDAD JAVERIANA,2
UNIVERSIDAD DE ANTIOQUIA,VEDAS CORPORACION DE INVESTIGACION E INNOVACION,2
UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD PONTIFICIA BOLIVARIANA,2
UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD EAFIT,2
UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD DE SAN BUENAVENTURA CALI (UNIVERSIDAD DE SAN BUENAVENTURA),2
UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD DE MEDELLIN,2
UNIVERSIDAD DE ANTIOQUIA,INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,2
UNIVERSIDAD DE ANTIOQUIA,INSTITUCION PRESTADORA DE SERVICIOS DE SALUD UNIVERSIDAD DE ANTIOQUIA I P S UNIVERSITARIA,2
PONTIFICIA UNIVERSIDAD JAVERIANA,UNIVERSIDAD SANTO TOMAS,2
PONTIFICIA UNIVERSIDAD JAVERIANA,RED IBEROAMERICANA DE INDICADORES DE CIENCIAS Y TECNOLOGIA RICYT,2
INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN,INSTITUTO TECNOLOGICO METROPOLITANO,2
INSTITUTO COLOMBIANO DEL PETROLEO (ECOPETROL S A),ECOPETROL S A,2
